ID_Transacao,Data,Valor_Compra,Industria,Tipo_Compra,Qtd_Parcelas,Wallet,Cliente_ID,ID_Cartao,Input_Mode,Input_Mode_Code,Crossborder,Contactless
95,2023-07-16 00:06:01,778.27,Educação,CP,6.0,,1649,20727721,Swiped,59,,
96,2025-12-17 20:38:53,326.28,Varejo,CP,1.0,,2001,31339304,Swiped,59,,
97,2025-03-06 00:10:13,28.18,Saúde,CP,,Apple Pay,4364,65056153,Chip,54,,1.0
98,2025-11-17 11:02:17,238.97,Alimentação,CP,,,3195,62801967,PayPass,51,,0.0
99,2023-02-22 14:22:15,550.74,Alimentação,CP,6.0,,6605,95009952,PayPass,51,,
100,2025-04-22 19:18:48,795.63,Varejo,CP,9.0,,1245,13708761,PayPass,51,,1.0
101,2025-05-05 16:19:44,129.13,Saúde,CNP,,,8691,38251164,Mail Order,32,,
102,2025-01-20 19:43:22,653.86,Saúde,CNP,,,9415,59769802,eCommerce,38,,
103,2025-05-27 16:30:09,749.32,Tecnologia,CNP,,,3191,23558194,Mail Order,32,,
104,2025-05-23 06:55:26,903.96,Educação,CP,1.0,,8737,85897959,Chip,54,,
105,2023-07-15 05:32:46,603.72,Entretenimento,CNP,,,4991,59327490,eCommerce,38,,
106,2025-10-03 15:48:21,415.13,Educação,CNP,,,4810,66976729,eCommerce,38,0.0,
107,2023-05-28 08:57:00,886.05,Tecnologia,CNP,,,7055,32531137,MasterPass,39,,
108,2025-06-23 23:47:03,945.61,Entretenimento,CP,9.0,,8954,72585616,Chip,54,,
109,2023-08-04 16:05:52,69.42,Varejo,CP,,,3488,64500638,Chip,54,,
110,2025-04-06 06:30:45,611.9,Alimentação,CNP,,,2238,17235590,Mail Order,32,,
111,2023-10-26 09:10:48,819.52,Varejo,CNP,,,8408,44523666,Mail Order,32,,
112,2025-08-25 11:09:10,43.54,Varejo,CP,6.0,Google Pay,8812,78091282,Swiped,59,,
113,2025-10-01 06:09:27,1167.96,Varejo,CP,,,6439,93649761,Chip,54,,
114,2025-02-13 15:06:48,436.39,Entretenimento,CP,9.0,Samsung Pay,3604,84494283,Swiped,59,,
115,2025-06-28 10:20:07,478.18,Alimentação,CP,,Google Pay,6152,33342335,Swiped,59,,
116,2025-12-27 15:44:45,1050.91,Tecnologia,CNP,,,1624,54294951,Mail Order,32,,
117,2023-08-30 18:03:29,31.79,Alimentação,CP,,,9696,60563393,Chip,54,,
118,2023-04-04 03:00:57,338.91,Varejo,CNP,,,6097,20129279,MasterPass,39,,
119,2025-10-25 09:11:03,141.8,Alimentação,CNP,,,1589,13336137,MasterPass,39,,
120,2023-06-08 17:28:59,1125.1,Varejo,CNP,,,3082,18384908,eCommerce,38,0.0,
121,2023-04-07 23:22:22,1174.39,Alimentação,CNP,,,6719,87911601,eCommerce,38,,
122,2023-02-20 03:12:52,1059.85,Saúde,CNP,,,7344,15511070,eCommerce,38,,
123,2023-10-20 20:12:38,810.28,Tecnologia,CNP,,,8691,38251164,eCommerce,38,,
124,2023-03-09 14:08:46,371.99,Alimentação,CP,6.0,Google Pay,2630,58071932,Swiped,59,,
125,2025-12-02 08:16:45,472.9,Alimentação,CP,11.0,,5583,21693094,Chip,54,,
126,2025-03-02 15:55:27,811.92,Tecnologia,CNP,,,5043,69447109,Phone Order,35,,
127,2025-04-09 04:19:41,1151.84,Alimentação,CP,8.0,,7383,61874263,PayPass,51,,
128,2023-02-23 14:46:20,489.31,Varejo,CP,,,4852,38271227,Chip,54,,0.0
129,2025-07-21 22:01:26,950.27,Educação,CNP,,,7565,79233124,Mail Order,32,,
130,2023-06-07 15:28:03,824.52,Varejo,CNP,,,8299,18432380,Recurring,36,,
131,2023-03-25 00:07:34,476.39,Tecnologia,CP,,,3019,43768258,PayPass,51,,
132,2025-01-21 21:17:37,137.42,Entretenimento,CP,2.0,,6182,65721055,Swiped,59,,
133,2023-04-29 20:19:54,40.63,Saúde,CP,,,4801,61944756,Chip,54,,1.0
134,2025-07-10 15:49:43,709.76,Varejo,CNP,,,4469,23382949,Mail Order,32,,
135,2025-10-13 18:14:25,29.09,Saúde,CP,,,8322,79822909,PayPass,51,,
136,2025-08-14 12:27:23,1104.78,Varejo,CP,,,9002,86037525,Chip,54,,
137,2023-09-14 14:18:52,1051.95,Tecnologia,CNP,,,9223,54358630,MasterPass,39,,
138,2025-09-13 22:06:17,1179.08,Tecnologia,CP,10.0,,9494,80198147,Swiped,59,,
139,2025-05-20 10:30:35,584.72,Alimentação,CNP,,,2035,14426292,Phone Order,35,,
140,2023-10-13 08:10:52,557.84,Tecnologia,CP,,,8564,76273510,Swiped,59,,0.0
141,2023-12-04 21:59:26,459.11,Alimentação,CP,,,7657,21900506,PayPass,51,,
142,2023-06-22 13:36:01,435.6,Alimentação,CP,,Samsung Pay,9961,86993504,PayPass,51,,
143,2025-12-02 16:04:18,479.1,Saúde,CP,,,3650,69065038,Swiped,59,,1.0
144,2025-05-07 17:42:51,87.69,Alimentação,CP,6.0,,5050,98980541,Swiped,59,,
145,2025-04-08 05:24:37,1120.53,Varejo,CP,12.0,,3699,93370639,Chip,54,,
146,2025-05-05 03:20:04,61.46,Tecnologia,CNP,,,6018,11407896,Mail Order,32,,
147,2025-06-07 15:20:55,825.51,Varejo,CP,,,5061,93324386,Swiped,59,,
148,2025-03-19 09:29:16,212.74,Alimentação,CP,10.0,,3678,70393567,Chip,54,,
149,2023-01-08 03:33:05,22.43,Varejo,CNP,,,9353,62923758,MasterPass,39,1.0,
150,2025-12-14 09:18:56,1015.84,Tecnologia,CNP,,,3613,47236238,MasterPass,39,,
151,2025-04-01 00:49:28,841.79,Varejo,CP,6.0,,1138,28181268,PayPass,51,,
152,2025-03-09 16:56:25,523.85,Varejo,CP,,,3177,52716768,Chip,54,,
153,2025-07-30 23:52:59,263.04,Varejo,CNP,,,3578,11064389,Phone Order,35,,
154,2023-06-08 09:09:44,1095.12,Tecnologia,CP,3.0,,6189,76816517,PayPass,51,,1.0
155,2025-03-06 11:07:49,540.11,Entretenimento,CP,,,1803,34678407,Swiped,59,,
156,2025-02-06 16:20:03,95.57,Varejo,CNP,,,6830,21728187,Recurring,36,,
157,2025-06-06 00:32:28,433.83,Tecnologia,CNP,,,9953,69130728,Mail Order,32,,
158,2025-03-23 21:48:52,686.0,Alimentação,CNP,,,2899,43115335,MasterPass,39,,
159,2025-09-15 17:09:38,145.27,Alimentação,CP,5.0,,8259,33917691,PayPass,51,,
160,2025-02-02 09:38:36,477.75,Varejo,CNP,,,9907,48607717,Mail Order,32,,
161,2025-01-01 12:37:17,528.75,Alimentação,CNP,,,2854,82749819,Recurring,36,,
162,2025-08-13 13:06:16,1183.23,Tecnologia,CP,,,7297,62236083,Swiped,59,,1.0
163,2025-07-18 22:47:50,891.85,Tecnologia,CP,,,2931,34872002,Swiped,59,,
164,2025-06-05 15:13:42,582.1,Entretenimento,CP,7.0,,3251,68750966,Chip,54,,
165,2025-05-03 12:21:21,717.29,Varejo,CNP,,,7198,21915349,Mail Order,32,,
166,2025-06-18 14:19:45,489.46,Alimentação,CP,8.0,Samsung Pay,3305,84983428,PayPass,51,,
167,2025-05-16 11:41:09,672.66,Varejo,CP,,Samsung Pay,6344,78494919,PayPass,51,,
168,2025-10-13 04:01:05,359.27,Varejo,CNP,,,2774,82096053,eCommerce,38,1.0,
169,2025-01-08 23:17:11,60.37,Varejo,CP,,Google Pay,8982,24399989,Swiped,59,,
170,2025-05-15 11:10:00,574.91,Alimentação,CP,,,6546,34281868,Chip,54,,0.0
171,2025-03-11 17:48:59,708.79,Varejo,CP,,,1184,90758072,Swiped,59,,
172,2025-07-05 18:24:28,501.65,Varejo,CP,7.0,,1003,24368015,PayPass,51,,
173,2023-10-25 11:07:28,877.99,Alimentação,CP,1.0,Google Pay,8681,46401107,Chip,54,,
174,2025-06-13 07:24:58,1126.14,Varejo,CP,,,9590,16295089,Chip,54,,1.0
175,2025-05-24 22:22:06,1015.29,Tecnologia,CP,,Google Pay,3868,88572129,PayPass,51,,
176,2025-03-11 01:22:23,384.06,Tecnologia,CP,,,4182,63675158,PayPass,51,,
177,2025-02-02 14:30:52,1037.04,Alimentação,CP,,,4928,96313857,Chip,54,,
178,2023-08-18 21:40:14,635.68,Varejo,CP,9.0,,7055,32531137,Swiped,59,,
179,2025-09-20 13:53:50,742.59,Tecnologia,CP,6.0,,4294,27334277,PayPass,51,,
180,2023-12-12 00:15:13,1065.9,Varejo,CP,,,1596,85422748,Swiped,59,,
181,2023-09-18 02:09:32,836.32,Alimentação,CNP,,,3564,22386160,eCommerce,38,,
182,2025-01-03 23:16:59,7.09,Varejo,CP,,Samsung Pay,3605,92950743,Chip,54,,
183,2025-10-18 12:54:23,1015.49,Varejo,CNP,,,5957,66863583,Phone Order,35,,
184,2023-01-23 00:54:10,170.28,Alimentação,CNP,,,9953,69130728,Mail Order,32,,
185,2025-02-02 15:20:59,501.86,Varejo,CNP,,,8293,19807588,eCommerce,38,0.0,
186,2025-04-16 19:55:50,1090.88,Entretenimento,CP,,,3723,38710022,Chip,54,,
187,2023-12-08 11:39:58,481.74,Entretenimento,CP,,,9604,10648938,PayPass,51,,
188,2023-02-18 19:15:48,164.7,Tecnologia,CP,,,4150,57960751,Chip,54,,
189,2025-08-01 11:57:59,301.1,Varejo,CP,,Apple Pay,9074,19524745,Swiped,59,,1.0
190,2025-03-25 23:31:25,590.23,Varejo,CP,11.0,,9454,27295669,Swiped,59,,
191,2023-11-08 02:26:53,346.17,Varejo,CP,,Google Pay,3370,10014118,PayPass,51,,
192,2025-07-23 02:04:48,19.56,Educação,CNP,,,4716,56491773,Phone Order,35,,
193,2023-10-04 11:48:57,997.46,Saúde,CP,,,1480,91754025,PayPass,51,,
194,2025-01-09 20:14:18,62.29,Varejo,CNP,,,7730,14485789,MasterPass,39,,
195,2023-08-18 04:05:10,1143.21,Saúde,CP,,Google Pay,4297,91714136,Swiped,59,,
196,2025-01-13 04:00:21,899.8,Varejo,CNP,,,9526,14953759,eCommerce,38,,
197,2023-11-05 12:25:12,450.83,Educação,CP,,,2308,31878285,PayPass,51,,
198,2025-02-03 06:03:18,790.8,Varejo,CNP,,,7062,93507215,Recurring,36,,
199,2025-03-24 15:54:57,852.82,Alimentação,CP,,,6789,87188924,Swiped,59,,
200,2025-01-21 07:27:12,780.14,Saúde,CNP,,,4294,27334277,eCommerce,38,,
201,2025-06-11 03:29:50,193.01,Entretenimento,CP,,,4828,49264947,PayPass,51,,
202,2023-02-21 00:48:54,1122.67,Tecnologia,CP,,,5313,86632063,Chip,54,,1.0
203,2023-02-14 05:17:06,1159.86,Alimentação,CNP,,,6250,40852124,Mail Order,32,,
204,2025-08-04 05:57:38,85.19,Varejo,CP,,Google Pay,5032,21108325,Chip,54,,
205,2023-08-14 00:03:20,85.98,Tecnologia,CP,10.0,,7198,21915349,Chip,54,,
206,2023-02-13 08:29:36,838.96,Varejo,CNP,,,8227,73966685,MasterPass,39,,
207,2025-08-01 09:22:47,120.88,Tecnologia,CP,,,3836,42376095,Swiped,59,,
208,2025-09-10 02:45:34,728.39,Entretenimento,CP,11.0,,2184,29197395,Chip,54,,
209,2023-10-22 03:32:28,93.43,Varejo,CNP,,,1035,11601260,MasterPass,39,,
210,2023-04-05 04:49:46,521.46,Varejo,CNP,,,1770,82486112,Recurring,36,,
211,2023-06-03 10:30:02,350.82,Varejo,CNP,,,7138,86745025,Recurring,36,,
212,2025-07-15 17:00:45,497.11,Alimentação,CP,,,1784,25379736,PayPass,51,,
213,2025-08-26 15:30:50,1101.01,Alimentação,CNP,,,9785,92092850,MasterPass,39,,
214,2025-03-05 03:59:17,174.14,Entretenimento,CP,,,2847,40980587,PayPass,51,,
215,2023-11-27 21:09:11,869.62,Tecnologia,CNP,,,7590,21157643,MasterPass,39,,
216,2023-05-09 18:13:22,231.62,Varejo,CNP,,,6844,58070859,Mail Order,32,,
217,2025-04-09 00:26:11,812.62,Alimentação,CP,9.0,,2090,37235164,Chip,54,,
218,2023-01-17 23:33:37,346.25,Tecnologia,CP,,,1132,43675325,Swiped,59,,1.0
219,2023-11-18 20:17:41,721.89,Varejo,CNP,,,3801,46255899,eCommerce,38,,
220,2025-01-07 00:01:18,875.1,Varejo,CNP,,,5911,56977047,Mail Order,32,,
221,2025-09-14 20:09:37,814.39,Varejo,CP,,,6215,32142392,Chip,54,,
222,2023-02-02 14:36:06,704.44,Alimentação,CP,,,1275,68154277,PayPass,51,,
223,2023-04-02 17:46:02,494.89,Alimentação,CNP,,,5198,46660893,MasterPass,39,,
224,2023-12-18 03:47:06,611.58,Alimentação,CP,,,7069,94513343,PayPass,51,,0.0
225,2023-04-17 20:54:28,543.68,Varejo,CP,,,8307,91855663,Chip,54,,1.0
226,2023-07-06 09:58:17,472.28,Educação,CP,9.0,,7344,15511070,PayPass,51,,
227,2025-05-23 02:35:41,665.34,Varejo,CP,8.0,,1993,94052333,PayPass,51,,
228,2023-10-28 15:46:01,1000.61,Educação,CP,9.0,,1430,35744628,PayPass,51,,
229,2025-06-19 03:20:16,1161.51,Educação,CNP,,,9383,15459561,Recurring,36,,
230,2025-12-11 16:45:20,1056.93,Entretenimento,CNP,,,2358,78253103,Mail Order,32,,
231,2025-12-07 01:29:38,46.32,Tecnologia,CNP,,,6182,65721055,MasterPass,39,,
232,2025-03-11 12:00:03,321.05,Varejo,CP,,,1126,61966876,PayPass,51,,
233,2023-03-25 17:10:02,731.03,Varejo,CP,,,4294,45798586,Swiped,59,,
234,2023-02-25 04:31:15,789.34,Entretenimento,CNP,,,6984,18994307,Recurring,36,,
235,2023-02-12 16:34:25,746.06,Entretenimento,CP,2.0,,8430,84840958,Chip,54,,
236,2023-09-10 14:59:15,421.1,Tecnologia,CP,,Google Pay,3384,64670623,Swiped,59,,
237,2023-09-24 22:57:16,390.24,Alimentação,CNP,,,9716,91053861,Phone Order,35,,
238,2023-06-29 17:10:23,1023.43,Varejo,CP,6.0,,4329,69378355,Swiped,59,,
239,2023-12-03 05:23:54,161.88,Alimentação,CP,,,7198,21915349,Swiped,59,,0.0
240,2023-01-02 15:55:04,494.51,Varejo,CNP,,,8565,62840782,MasterPass,39,,
241,2023-11-18 13:07:45,673.47,Varejo,CP,,,3336,56114057,Chip,54,,
242,2025-04-24 17:02:17,237.08,Varejo,CP,8.0,,6909,49977141,PayPass,51,,0.0
243,2023-10-02 23:17:10,613.76,Saúde,CNP,,,6097,94591642,eCommerce,38,,
244,2025-03-19 02:51:51,758.93,Educação,CNP,,,2043,78850837,MasterPass,39,,
245,2023-09-09 06:25:11,747.31,Saúde,CP,,,7768,24340344,Chip,54,,
246,2023-07-01 09:49:31,874.96,Varejo,CP,4.0,,2931,34872002,PayPass,51,,
247,2025-04-17 02:29:36,792.82,Varejo,CP,,Apple Pay,5004,33543352,Swiped,59,,
248,2023-04-26 23:59:44,938.39,Varejo,CP,,Google Pay,6768,43168524,Chip,54,,
249,2023-09-15 02:42:16,384.63,Tecnologia,CNP,,,1837,70074986,Recurring,36,0.0,
250,2025-05-26 03:06:38,1013.69,Tecnologia,CNP,,,8114,63914589,Recurring,36,,
251,2023-09-28 09:58:57,438.29,Entretenimento,CP,6.0,,8996,84021999,Chip,54,,
252,2025-02-14 00:54:45,859.96,Tecnologia,CNP,,,2578,76425044,MasterPass,39,,
253,2025-04-29 16:58:33,682.51,Varejo,CP,,,9053,55240673,PayPass,51,,
254,2023-04-22 02:12:32,121.34,Tecnologia,CP,,,9587,35803159,PayPass,51,,
255,2023-08-10 01:32:55,1038.61,Tecnologia,CNP,,,9003,69341015,Recurring,36,,
256,2025-01-29 05:22:34,66.71,Saúde,CNP,,,6394,26318146,Recurring,36,,
257,2023-02-24 00:21:46,921.82,Varejo,CNP,,,7380,14881350,Phone Order,35,,
258,2023-03-09 06:25:35,707.77,Varejo,CP,9.0,Samsung Pay,9563,22776516,Swiped,59,,
259,2023-01-14 17:43:50,385.44,Varejo,CNP,,,1385,62133455,Mail Order,32,,
260,2023-02-21 07:01:53,865.97,Alimentação,CP,,,1350,25370389,PayPass,51,,
261,2025-05-19 03:59:37,308.29,Tecnologia,CP,,,8221,62682539,Chip,54,,
262,2023-10-05 22:03:34,495.56,Tecnologia,CP,3.0,,4763,33479689,Swiped,59,,
263,2025-11-09 06:04:41,1009.72,Alimentação,CP,,,6048,27005895,PayPass,51,,0.0
264,2025-05-15 17:15:17,730.1,Saúde,CP,,,3413,96106801,Chip,54,,1.0
265,2023-12-07 05:29:11,379.38,Varejo,CP,,,3720,15344512,PayPass,51,,
266,2025-03-09 09:42:52,400.01,Entretenimento,CP,,Apple Pay,4268,84947770,PayPass,51,,
267,2023-11-19 18:35:38,298.3,Varejo,CP,2.0,,7224,87169304,Chip,54,,1.0
268,2023-06-17 23:49:11,326.39,Varejo,CNP,,,6048,27005895,MasterPass,39,0.0,
269,2023-08-30 03:12:09,176.64,Varejo,CP,11.0,,5032,12647385,Chip,54,,
270,2025-09-08 12:54:47,1034.67,Tecnologia,CP,3.0,,7284,86392283,Swiped,59,,
271,2025-10-06 20:34:11,447.64,Saúde,CNP,,,8822,33440576,Recurring,36,1.0,
272,2025-03-05 21:28:21,772.87,Alimentação,CP,3.0,,8655,72965095,Swiped,59,,
273,2025-03-22 06:57:17,925.26,Alimentação,CNP,,,8721,89869327,eCommerce,38,,
274,2025-03-05 16:43:44,1042.87,Saúde,CP,,,9494,80198147,Swiped,59,,
275,2025-03-08 20:53:06,331.02,Varejo,CNP,,,9626,33060266,Phone Order,35,,
276,2025-05-23 19:11:30,544.5,Entretenimento,CP,,,9044,18448281,PayPass,51,,0.0
277,2023-06-18 16:50:08,489.91,Tecnologia,CP,,,2527,97914706,PayPass,51,,
278,2025-02-27 23:50:14,1034.68,Varejo,CP,,Apple Pay,3058,36245657,Chip,54,,
279,2025-06-10 08:50:40,665.04,Alimentação,CP,7.0,,7533,93920174,Chip,54,,
280,2023-09-15 08:04:02,373.35,Entretenimento,CNP,,,6024,35272797,eCommerce,38,,
281,2025-05-27 18:56:32,756.15,Alimentação,CP,,,9227,65761546,PayPass,51,,0.0
282,2025-11-22 18:06:00,690.62,Varejo,CP,,,4845,54355096,PayPass,51,,
283,2023-12-07 04:36:46,1048.43,Educação,CP,,,1204,17066279,PayPass,51,,
284,2023-04-17 13:14:58,247.59,Tecnologia,CP,,Samsung Pay,5984,87598710,Chip,54,,
285,2023-10-24 07:27:21,527.65,Varejo,CP,12.0,,5377,13962472,Chip,54,,
